boutique,code_postal,client_anciennete,frequence_visites,captation,causes_achats,produit_prefere,produits_moins_connus,client_internet,volonte_boutique_proche,lat,lon,lat_boutique,lon_boutique
Socoa,64500,Depuis quelques annees,regulier,bouche a oreille,pour me faire plaisir; pour faire un cadeau,Kanougas,Autres,Non,sans_avis,43.38886685,-1.6381793651234804,48.825983,2.3606487
Socoa,64122,Depuis quelques annees,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Chocolat,Espelines,Non,sans_avis,43.36781597432432,-1.70349487027027,48.825983,2.3606487
Socoa,64310,Depuis quelques annees,regulier,bouche a oreille,pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Chocolat,Autres,Non,sans_avis,43.34008051328125,-1.59201581875,48.825983,2.3606487
Socoa,64122,Depuis quelques annees,regulier,bouche a oreille,pour me faire plaisir; quand je reçois du monde ou quand je suis invitee,Gateau basque,Autres,Non,sans_avis,43.36781597432432,-1.70349487027027,48.825983,2.3606487
Socoa,64122,Depuis quelques annees,regulier,"avec vos parents, votre famille",pour faire un cadeau,Autres,Autres,Non,sans_avis,43.36781597432432,-1.70349487027027,48.825983,2.3606487
Socoa,64500,Depuis quelques annees,regulier,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Je ne sais pas,Non,sans_avis,43.38886685,-1.6381793651234804,48.825983,2.3606487
Espelette,64250,Depuis toujours,regulier,"avec vos parents, votre famille",pour me faire plaisir,Autres,Autres,Non,sans_avis,43.34159391694915,-1.4317989559322033,43.3411726,-1.448083
Espelette,33430,Depuis toujours,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Autres,Gateau basque aux agrumes,Non,oui,44.42649272424242,-0.2152527075757575,43.3411726,-1.448083
Espelette,76690,Depuis toujours,exceptionelle,bouche a oreille,pour regaler ma famille; pour faire un cadeau,Autres,Je ne sais pas,Non,oui,49.5814184225,1.14457891875,43.3411726,-1.448083
Espelette,64250,Depuis quelques annees,regulier,"avec vos parents, votre famille",pour faire un cadeau,Gateau basque,Je ne sais pas,Non,sans_avis,43.34159391694915,-1.4317989559322033,43.3411726,-1.448083
Espelette,64440,Depuis quelques annees,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,sans_avis,42.9161891,-0.4158557382448388,43.3411726,-1.448083
Espelette,43700,C’est une de mes premieres visites,exceptionelle,par hasard en passant devant,pour me faire plaisir,Autres,Je ne sais pas,Non,sans_avis,45.0428673703125,3.9302134171875,43.3411726,-1.448083
Espelette,64310,Depuis quelques annees,regulier,par hasard en passant devant; bouche a oreille,pour me faire plaisir; pour faire un cadeau,Kanougas,Autres,Non,sans_avis,43.34008051328125,-1.59201581875,43.3411726,-1.448083
Espelette,17520,C’est une de mes premieres visites,premiere_fois,par hasard en passant devant,pour faire un cadeau,sans_avis,Je ne sais pas,Non,oui,45.520432425185184,-0.3386912333333333,43.3411726,-1.448083
Espelette,31160,Depuis toujours,exceptionelle,bouche a oreille,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Mouchous,Je ne sais pas,Non,oui,43.00030545,0.822088358626067,43.3411726,-1.448083
